,Company,Bar_Name,Reference_Number,Review_Date,Cocoa_Percentage,Company_Location,Rating,Bean_Type,Country,Flavor_Rating
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,Unknown,São Tomé and Príncipe,Praiseworthy
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,Unknown,Togo,Satisfactory
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,Unknown,Togo,Satisfactory
3,A. Morin,Akata,1680,2015,70.0,France,3.5,Unknown,Togo,Satisfactory
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,Unknown,Peru,Satisfactory
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Satisfactory
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,Unknown,Cuba,Satisfactory
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Satisfactory
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Praiseworthy
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,Unknown,Peru,Premium
10,A. Morin,Panama,1011,2013,70.0,France,2.75,Unknown,Panama,Satisfactory
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Satisfactory
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,Unknown,Brazil,Satisfactory
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,Unknown,Ecuador,Praiseworthy
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,Unknown,Colombia,Satisfactory
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,Unknown,Myanmar,Satisfactory
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,Unknown,Papua New Guinea,Satisfactory
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,Premium
18,A. Morin,Piura,1019,2013,70.0,France,3.25,Unknown,Peru,Satisfactory
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Unknown,Peru,Satisfactory
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Unknown,Peru,Premium
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,Unknown,Bolivia,Satisfactory
22,A. Morin,Peru,797,2012,63.0,France,3.75,Unknown,Peru,Praiseworthy
23,Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,Unknown,Peru,Praiseworthy
24,Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,Praiseworthy
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,Satisfactory
26,Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,Satisfactory
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,Satisfactory
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,Satisfactory
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,Satisfactory
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,Satisfactory
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,Satisfactory
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,Praiseworthy
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,Satisfactory
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,Satisfactory
35,Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad and Tobago,Satisfactory
36,Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,Satisfactory
37,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,Satisfactory
38,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,Disappointing
39,Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,Unknown,Peru,Disappointing
40,Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,Satisfactory
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,Satisfactory
42,Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,Satisfactory
43,Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,United Republic of Tanzania,Satisfactory
44,Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,Unknown,Nicaragua,Satisfactory
45,Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,Unknown,Peru,Satisfactory
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,Unknown,Bolivia,Disappointing
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,Unknown,Peru,Disappointing
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,Unknown,Ecuador,Satisfactory
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,Unknown,Venezuela,Disappointing
50,Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,Satisfactory
51,Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,Unknown,Bolivia,Satisfactory
52,Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,Unknown,Bolivia,Satisfactory
53,Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,Unknown,Peru,Satisfactory
54,Amano,Morobe,725,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea,Premium
55,Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy
56,Amano,Guayas,470,2010,70.0,U.S.A.,4.0,Unknown,Ecuador,Premium
57,Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,Satisfactory
58,Amano,Montanya,363,2009,70.0,U.S.A.,3.0,Unknown,Venezuela,Satisfactory
59,Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,Unknown,Indonesia,Satisfactory
60,Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,Satisfactory
61,Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,Unknown,Venezuela,Satisfactory
62,Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,Praiseworthy
63,Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,Satisfactory
64,Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,Unknown,Ecuador,Satisfactory
65,Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,Unknown,Ecuador,Satisfactory
66,Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,Satisfactory
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,Unknown,Peru,Satisfactory
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,Satisfactory
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,Satisfactory
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,Satisfactory
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,Unknown,Dominican Republic,Satisfactory
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,Unknown,Papua New Guinea,Satisfactory
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,Unknown,Venezuela,Satisfactory
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Unknown,Peru,Satisfactory
75,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,Unknown,Peru,Praiseworthy
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,Premium
77,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,Unknown,Premium
78,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,Elite
79,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,Satisfactory
80,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,Satisfactory
81,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,Satisfactory
82,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,Praiseworthy
83,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,Premium
84,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad and Tobago,Satisfactory
85,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,Unknown,Satisfactory
86,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,Unknown,Elite
87,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,Unknown,Premium
88,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,Satisfactory
89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,Satisfactory
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,Premium
93,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,Unknown,Dominican Republic,Satisfactory
94,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,Unknown,Bolivia,Satisfactory
95,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,Satisfactory
96,Ara,Chiapas,1379,2014,72.0,France,2.5,Unknown,Mexico,Disappointing
97,Ara,Equateur,1379,2014,75.0,France,2.75,Unknown,Ecuador,Satisfactory
98,Ara,Trincheras,1379,2014,75.0,France,3.0,Unknown,Venezuela,Satisfactory
99,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad and Tobago,Satisfactory
100,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,Unknown,United Republic of Tanzania,Praiseworthy
101,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,Satisfactory
102,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory
103,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,Satisfactory
104,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,Unknown,Guatemala,Satisfactory
105,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,Praiseworthy
106,Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,Unknown,Honduras,Satisfactory
107,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,Unknown,Costa Rica,Premium
108,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,Premium
109,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,Unknown,Dominican Republic,Praiseworthy
110,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,Unknown,Fiji,Satisfactory
111,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,Unknown,Vietnam,Satisfactory
112,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,Unknown,Brazil,Satisfactory
113,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,Satisfactory
114,Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,Praiseworthy
115,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,Unknown,Dominican Republic,Satisfactory
116,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,Praiseworthy
117,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,Premium
118,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,Unknown,Brazil,Satisfactory
119,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,Unknown,Guatemala,Satisfactory
120,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,Unknown,Ecuador,Satisfactory
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad and Tobago,Satisfactory
122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,Unknown,Colombia,Praiseworthy
123,Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,Unknown,Haiti,Premium
124,Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,Unknown,Panama,Satisfactory
125,Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,Unknown,Venezuela,Unpleasant
126,Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,Praiseworthy
127,Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,Unknown,Costa Rica,Satisfactory
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,Satisfactory
129,Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,Unknown,Indonesia,Satisfactory
130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,Disappointing
131,Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,Satisfactory
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,Unknown,Brazil,Unpleasant
133,Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,Satisfactory
134,Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,Satisfactory
135,Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,Satisfactory
136,Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,Praiseworthy
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,Satisfactory
138,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,United Republic of Tanzania,Praiseworthy
