,Company,Bar_Name,Reference_Number,Review_Date,Cocoa_Percentage,Company_Location,Rating,Bean_Type,Country,Flavor_Rating,Clusters,Cluster_Color
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,Unknown,São Tomé and Príncipe,Praiseworthy,0,Pink
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,Unknown,Togo,Satisfactory,3,Black
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,Unknown,Togo,Satisfactory,3,Black
3,A. Morin,Akata,1680,2015,70.0,France,3.5,Unknown,Togo,Satisfactory,3,Black
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,Unknown,Peru,Satisfactory,3,Black
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Satisfactory,3,Black
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,Unknown,Cuba,Satisfactory,3,Black
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Satisfactory,3,Black
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Praiseworthy,3,Black
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,Unknown,Peru,Premium,3,Black
10,A. Morin,Panama,1011,2013,70.0,France,2.75,Unknown,Panama,Satisfactory,3,Black
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Satisfactory,3,Black
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,Unknown,Brazil,Satisfactory,3,Black
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,Unknown,Ecuador,Praiseworthy,3,Black
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,Unknown,Colombia,Satisfactory,3,Black
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,Unknown,Myanmar,Satisfactory,3,Black
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,Unknown,Papua New Guinea,Satisfactory,3,Black
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,Premium,3,Black
18,A. Morin,Piura,1019,2013,70.0,France,3.25,Unknown,Peru,Satisfactory,3,Black
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Unknown,Peru,Satisfactory,3,Black
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Unknown,Peru,Premium,0,Pink
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,Unknown,Bolivia,Satisfactory,3,Black
22,A. Morin,Peru,797,2012,63.0,France,3.75,Unknown,Peru,Praiseworthy,0,Pink
23,Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,Unknown,Peru,Praiseworthy,3,Black
24,Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,Praiseworthy,3,Black
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,Satisfactory,0,Pink
26,Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,Satisfactory,1,Light Purple
